time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,rollout/ep_len_mean,time/fps,train/std,train/clip_range,train/entropy_loss,train/value_loss,train/learning_rate,train/policy_gradient_loss,train/n_updates,train/clip_fraction,train/approx_kl,train/explained_variance,train/loss
1,58.99137015,320,342,2.84,0,,,,,,,,,,,
2,47.08348706999999,640,874,2.47,0,1.0003688335418701,0.2,-4.255799499154091,4568.221703338623,0.0003,-0.0043394292290201975,10,0.10812500219326467,0.01190854,-0.0001671314239501953,1847.3804931640625
3,55.44917512999999,960,1350,2.71,0,0.9962889552116394,0.2,-4.251686146855354,4597.985913848877,0.0003,0.0008503677912642616,20,0.12937500262632967,0.0063596494,-0.003440260887145996,1372.00439453125
4,64.29112823999999,1280,1571,2.94,0,0.995510995388031,0.2,-4.243423300981521,5393.540717315674,0.0003,-0.006438820934462797,30,0.11031250189989805,0.009098433,-0.007555723190307617,3327.557861328125
5,57.526224950000014,1600,1988,2.61,0,0.9938542246818542,0.2,-4.239114305377006,4698.739691925049,0.0003,-0.001253395474611807,40,0.19968750344123692,0.009766115,-0.0035839080810546875,2255.866943359375
6,69.36014289,1920,2219,2.92,0,0.9945077896118164,0.2,-4.240940615534782,5302.918675994873,0.0003,-0.0027291863099151215,50,0.14625000276137143,0.014287852,-0.022735595703125,3995.9140625
7,62.78393632999999,2240,2594,2.76,0,0.989483118057251,0.2,-4.231543684005738,5226.683114624024,0.0003,-0.0038341799085458207,60,0.13281250207219272,0.013549504,-0.0006774663925170898,2642.27685546875
8,51.852157350000006,2560,2831,2.51,0,0.9844898581504822,0.2,-4.218173640966415,10626.994812011719,0.0003,-0.00809184784311583,70,0.0925000019138679,0.007450265,-0.011438846588134766,3452.51513671875
9,56.77899711999999,2880,3356,2.62,0,0.9857058525085449,0.2,-4.207614013552666,5937.189080810547,0.0003,-0.0017199308929413347,80,0.11281250212341547,0.0035807767,-0.008862495422363281,6208.6181640625
10,76.05541622999999,3200,3912,2.99,0,0.9830484390258789,0.2,-4.208077761530876,4900.773742675781,0.0003,0.0015207159050817155,90,0.12656250237487257,0.0014804346,-0.019105076789855957,3253.29296875
11,71.28234727,3520,4226,3.05,0,0.980597972869873,0.2,-4.201786750555039,9782.578037261963,0.0003,0.000763781861866164,100,0.032812500628642736,0.005140023,0.0016994476318359375,1912.6781005859375
12,69.44218336,3840,4461,2.83,0,0.9826058149337769,0.2,-4.1999439090490345,6178.268713378906,0.0003,-0.006669063119816343,110,0.1156250020256266,0.0042318646,-0.02411830425262451,3325.10205078125
13,46.711378079999996,4160,5174,2.4,0,0.9803735613822937,0.2,-4.1991787403821945,6893.297671508789,0.0003,-0.007097659106220533,120,0.09218750204890966,0.01033348,-0.01131141185760498,4725.80029296875
14,72.81398159,4480,5603,2.93,0,0.9785875678062439,0.2,-4.1954237759113315,4106.310527801514,0.0003,0.00047814087518531777,130,0.06218750094994903,0.0021012817,-0.0168612003326416,2434.933837890625
15,41.13117566999999,4800,5954,2.22,0,0.9750105142593384,0.2,-4.1880808711051944,8182.638801574707,0.0003,-0.0031915024179568264,140,0.12937500248663128,0.006560458,-0.0006306171417236328,3004.360595703125
16,50.008376160000005,5120,6363,2.45,0,0.9739601016044617,0.2,-4.178763684630394,5146.520645141602,0.0003,0.0018227200919795905,150,0.032500000507570806,0.0013688835,-0.02905285358428955,927.8902587890625
17,67.74871555,5440,6677,2.77,0,0.971971869468689,0.2,-4.1739558517932895,4718.504035186767,0.0003,0.004068963270603377,160,0.10968750161118805,0.008159645,0.01118534803390503,2378.05029296875
18,59.14102255999999,5760,6899,2.6,0,0.9640440344810486,0.2,-4.156541737914085,8239.622090148925,0.0003,0.00965697910009169,170,0.1896875034319237,0.0022283555,-0.01560354232788086,7709.0390625
19,66.5391204,6080,7167,2.63,0,0.9656432867050171,0.2,-4.147026458382607,5611.901909637451,0.0003,0.0009597899158109158,180,0.04718750095926225,0.004978236,-0.017306923866271973,1491.337158203125
20,56.524440150000004,6400,7475,2.53,0,0.9620086550712585,0.2,-4.145153656601906,7639.7452171325685,0.0003,-0.004731302932259496,190,0.07406250138301403,0.00583632,-0.00884389877319336,2285.38037109375
21,75.35760214000001,6720,7633,2.87,0,0.9636462926864624,0.2,-4.143439903855324,6028.82580871582,0.0003,-0.004705561907644551,200,0.08968750191852451,0.012495047,-0.013771653175354004,2042.5008544921875
22,76.83004764,7040,8050,2.91,0,0.9631133079528809,0.2,-4.141959089040756,7433.179940795899,0.0003,-4.529221366738057e-05,210,0.04687500079162419,0.006876046,-0.0013484954833984375,8284.2236328125
23,62.11889242,7360,8345,2.5,0,0.9637688994407654,0.2,-4.147742792963982,8257.426991271972,0.0003,-0.0027173105588758515,220,0.05656250100582838,0.005049441,0.00658804178237915,3899.943115234375
24,79.02969901,7680,8623,2.91,0,0.959001898765564,0.2,-4.138958305120468,7251.9740539550785,0.0003,-0.005477489527419266,230,0.050312501029111445,0.005388703,-0.026841282844543457,6265.06689453125
25,75.17846591,8000,8768,2.9,0,0.9556608200073242,0.2,-4.125794100761413,6926.161799621582,0.0003,-0.007104553276337811,240,0.11656250234227628,0.0042864303,0.0010912418365478516,4206.83349609375
26,90.26129913000001,8320,9091,3.05,0,0.9551413059234619,0.2,-4.1198838412761685,7177.435473632812,0.0003,-0.004900696345725919,250,0.0506250009406358,0.009506052,-0.012994050979614258,4214.96337890625
27,60.49394379,8640,9365,2.49,0,0.9504615664482117,0.2,-4.111495700478554,6977.815892028809,0.0003,-0.010630436339297588,260,0.12125000236555934,0.012227157,-0.003620743751525879,7024.50732421875
