rollout/ep_len_mean,time/total_timesteps,time/iterations,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/clip_fraction,train/clip_range,train/policy_gradient_loss,train/approx_kl,eval/mean_reward,train/n_updates,train/entropy_loss,train/value_loss,train/std,train/explained_variance,train/learning_rate,train/loss,eval/mean_ep_length
2.4516129032258065,80,1,156,0.3308039354838709,0,,,,,,,,,,,,,
,100,,,,,0.33250000700354576,0.2,-0.038190023549395845,0.03113756,62.53055667877197,10,-4.258728712797165,467.1803565979004,0.9999191164970398,0.005312085151672363,0.0003,592.2021484375,5.0
2.7586206896551726,160,2,297,12.660380206896551,0,,,,,,,,,,,,,
,200,,,,,0.14375000232830643,0.2,-0.02403150204488156,0.012409614,-10.0,20,-4.252964320778847,1451.7538056612016,0.9969606399536133,0.0036398768424987793,0.0003,105.83448791503906,2.0
2.6666666666666665,240,3,426,12.723769933333337,0,,,,,,,,,,,,,
,300,,,,,0.28250000635162,0.2,-0.020166563403217663,0.02374313,20.84370231628418,30,-4.248114335536957,1434.236036634445,0.9956612586975098,0.0027388334274291992,0.0003,431.81689453125,2.0
2.85,320,4,551,15.94836409,0,,,,,,,,,,,,,
,400,,,,,0.2562500053085387,0.2,-0.030914507299603433,0.014722209,-5.0,40,-4.245143181085586,1512.333449935913,0.9956787824630737,0.0019844770431518555,0.0003,137.62973022460938,1.0
2.7,400,5,592,20.101992600000003,0,,,,,,,,,,,,,
2.75,480,6,672,24.904047260000002,0,0.16250000279396773,0.2,-0.024705934992671246,0.01623781,,50,-4.2414063066244125,2683.5621767044067,0.9946291446685791,-0.0012761354446411133,0.0003,1053.43115234375,
,500,,,,,0.1400000024586916,0.2,-0.009952820170274207,0.009703131,5.386069297790527,60,-4.23725902736187,1620.3680144309997,0.992617130279541,-0.013151884078979492,0.0003,1134.37353515625,2.0
2.74,560,7,933,27.48257387,0,,,,,,,,,,,,,
,600,,,,,0.09500000150874258,0.2,-0.0035502790359737803,0.007393122,5.850024223327637,70,-4.224874529242515,1297.861605834961,0.9877700209617615,0.017521679401397705,0.0003,272.5397033691406,2.0
2.76,640,8,1019,32.35971266,0,,,,,,,,,,,,,
,700,,,,,0.1350000028498471,0.2,-0.002309822387251187,0.011110027,-5.0,80,-4.221370989084244,3693.646634244919,0.9880415797233582,0.0012230277061462402,0.0003,686.6179809570312,1.0
2.59,720,9,1095,33.10321718,0,,,,,,,,,,,,,
,800,,,,,0.14000000236555935,0.2,-0.013490204352274304,0.009255173,58.94317054748535,90,-4.216191232204437,2904.9753999710083,0.9847267866134644,-0.017690420150756836,0.0003,1543.967041015625,4.0
2.77,800,10,1183,42.970429460000005,0,,,,,,,,,,,,,
2.67,880,11,1338,39.40602869000001,0,0.2612500051036477,0.2,-0.016902680229977696,0.02041256,,100,-4.21034819483757,2000.848768234253,0.9857675433158875,-0.052742719650268555,0.0003,1057.1689453125,
,900,,,,,0.3762500088661909,0.2,-0.01485682791775611,0.02057527,60.31836128234863,110,-4.213820099830627,2820.044588470459,0.985170841217041,0.001417398452758789,0.0003,1562.3638916015625,4.0
2.82,960,12,1379,40.94098281000001,0,,,,,,,,,,,,,
,1000,,,,,0.2712500057183206,0.2,-0.016514513991460263,0.032006606,18.765167236328125,120,-4.20940802693367,1324.2329442024231,0.9836673736572266,-0.039972543716430664,0.0003,462.7465515136719,2.0
2.71,1040,13,1467,38.540449450000004,0,,,,,,,,,,,,,
